time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,load_voltage,load_current,test_voltage,test_current
0.01,-0.04,-0.06,0.03,0.11,-0.00,47.82,0.00,47.91,0.00
0.02,0.04,-0.13,-0.08,0.11,-0.00,47.83,0.00,47.90,0.00
0.03,0.00,-0.10,-0.09,0.11,-0.00,47.82,0.00,47.91,0.00
0.04,0.13,-0.22,-0.07,0.11,-0.00,47.83,0.00,47.90,0.00
0.05,0.12,-0.22,-0.01,0.11,-0.00,47.82,0.00,47.91,0.00
0.06,0.01,-0.11,0.14,0.11,-0.00,47.83,0.00,47.90,0.00
0.07,0.05,-0.16,0.10,0.11,-0.00,47.82,0.00,47.91,0.00
0.08,0.09,-0.19,0.09,0.11,-0.00,47.83,0.00,47.90,0.00
0.09,-0.02,-0.09,0.10,0.11,-0.00,47.82,0.00,47.91,0.00
0.10,0.05,-0.15,0.04,0.11,-0.00,47.83,0.00,47.91,0.00
0.11,0.02,-0.22,0.11,0.22,-0.00,47.83,0.00,47.90,0.00
0.12,-0.14,-0.08,0.10,0.22,-0.00,47.82,0.00,47.90,0.00
0.13,-0.01,-0.21,0.01,0.22,-0.00,47.83,0.00,47.90,0.00
0.14,-0.09,-0.13,-0.02,0.22,-0.00,47.83,0.00,47.90,0.00
0.15,-0.04,-0.18,-0.05,0.22,-0.00,47.83,0.00,47.90,0.00
0.16,0.08,-0.29,0.01,0.22,-0.00,47.82,0.00,47.90,0.00
0.17,-0.08,-0.15,0.09,0.22,-0.00,47.82,0.00,47.90,0.00
0.18,0.12,-0.35,0.10,0.22,-0.00,47.82,0.00,47.91,0.00
0.19,0.04,-0.27,0.03,0.22,-0.00,47.83,0.00,47.91,0.00
0.20,-0.04,-0.19,-0.10,0.22,-0.00,47.83,0.00,47.91,0.00
0.21,-0.06,-0.28,-0.09,0.33,-0.00,47.83,0.00,47.90,0.00
0.22,-0.05,-0.29,0.16,0.33,-0.00,47.82,0.00,47.90,0.00
0.23,0.05,-0.39,0.07,0.33,-0.00,47.83,0.00,47.91,0.00
0.24,-0.03,-0.32,-0.04,0.33,-0.00,47.82,0.00,47.90,0.00
0.25,0.05,-0.40,0.01,0.33,-0.00,47.84,0.00,47.91,0.00
0.26,-0.06,-0.30,-0.01,0.33,-0.00,47.82,0.00,47.89,0.00
0.27,0.06,-0.42,-0.09,0.33,-0.00,47.83,0.00,47.91,0.00
0.28,-0.03,-0.34,-0.11,0.33,-0.00,47.83,0.00,47.90,0.00
0.29,-0.05,-0.32,0.10,0.33,-0.00,47.83,0.00,47.90,0.00
0.30,0.15,-0.52,0.08,0.33,-0.00,47.83,0.00,47.91,0.00
0.31,0.03,-0.50,0.10,0.33,-0.00,47.83,0.00,47.91,0.00
0.32,-0.02,-0.46,0.28,0.44,-0.00,47.82,0.01,47.90,0.01
0.33,-0.00,-0.49,0.73,0.44,-0.00,47.83,0.01,47.90,0.01
0.34,-0.05,-0.45,0.75,0.44,-0.00,47.83,0.01,47.91,0.01
0.35,0.02,-0.52,1.65,0.44,-0.00,47.82,0.01,47.90,0.01
