time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,load_voltage,load_current,test_voltage,test_current
0.01,-0.13,-0.07,-0.12,0.00,0.00,47.82,0.00,47.90,0.00
0.02,-0.11,-0.09,-0.02,0.00,0.00,47.81,0.00,47.89,-0.00
0.03,0.04,-0.23,0.08,0.00,0.00,47.82,0.00,47.91,0.00
0.04,0.06,-0.26,0.07,0.00,0.00,47.82,0.00,47.91,0.00
0.05,0.15,-0.34,0.13,0.00,0.00,47.83,0.00,47.91,0.00
0.06,-0.11,-0.11,-0.07,0.00,0.00,47.82,0.00,47.89,-0.00
0.07,-0.05,-0.16,-0.02,0.00,0.00,47.82,0.00,47.90,-0.00
0.08,-0.06,-0.16,-0.04,0.00,0.00,47.82,0.00,47.91,-0.00
0.09,0.01,-0.23,0.07,0.00,0.00,47.81,0.00,47.89,-0.00
0.10,0.03,-0.24,0.06,0.22,0.00,47.82,0.00,47.90,0.00
0.11,-0.05,-0.36,0.10,0.22,0.00,47.83,0.00,47.90,0.00
0.12,-0.11,-0.31,0.01,0.22,0.00,47.82,0.00,47.90,0.00
0.13,0.02,-0.44,0.01,0.22,0.00,47.83,0.00,47.90,0.00
0.14,-0.04,-0.39,0.10,0.22,0.00,47.82,0.00,47.90,0.00
0.15,-0.03,-0.41,0.13,0.22,0.00,47.82,0.00,47.90,0.00
0.16,0.03,-0.47,0.05,0.22,0.00,47.83,0.00,47.90,0.00
0.17,-0.03,-0.42,0.06,0.22,0.00,47.82,0.01,47.89,0.00
0.18,-0.06,-0.40,-0.05,0.22,0.00,47.82,0.00,47.89,0.00
0.19,-0.13,-0.34,0.03,0.22,0.00,47.82,0.01,47.91,0.00
0.20,-0.17,-0.30,0.09,0.22,0.00,47.82,0.00,47.89,0.00
0.21,-0.05,-0.61,0.04,0.33,0.00,47.82,0.01,47.90,0.00
0.22,0.01,-0.67,0.06,0.33,0.00,47.82,0.01,47.90,0.00
0.23,0.02,-0.70,-0.07,0.33,0.00,47.83,0.01,47.90,0.00
0.24,0.00,-0.69,-0.10,0.33,0.00,47.82,0.01,47.90,0.00
0.25,-0.03,-0.67,0.04,0.33,0.00,47.83,0.01,47.90,0.00
0.26,-0.10,-0.61,-0.00,0.33,0.00,47.82,0.01,47.91,0.00
0.27,-0.01,-0.71,0.09,0.33,0.00,47.83,0.01,47.89,0.00
0.28,-0.04,-0.69,0.03,0.33,0.00,47.82,0.01,47.91,0.00
0.29,-0.06,-0.68,-0.05,0.33,0.00,47.83,0.01,47.90,0.00
0.30,-0.14,-0.61,-0.03,0.33,0.01,47.83,0.01,47.90,0.00
0.31,-0.02,-0.92,0.03,0.44,0.01,47.82,0.02,47.91,0.01
0.32,-0.10,-0.86,0.12,0.44,0.01,47.82,0.02,47.90,0.01
0.33,-0.06,-0.90,0.04,0.44,0.01,47.82,0.02,47.91,0.01
0.34,-0.09,-0.89,0.00,0.44,0.01,47.82,0.02,47.90,0.01
0.35,-0.06,-0.93,0.14,0.44,0.01,47.82,0.02,47.90,0.01
0.36,0.01,-1.00,-0.08,0.44,0.01,47.83,0.02,47.90,0.01
0.37,-0.01,-1.00,0.03,0.44,0.01,47.84,0.02,47.90,0.01
0.38,-0.08,-0.94,0.17,0.44,0.01,47.82,0.02,47.89,0.01
0.39,-0.04,-0.99,0.07,0.44,0.01,47.82,0.02,47.90,0.01
0.40,-0.03,-1.02,0.08,0.44,0.01,47.82,0.02,47.91,0.01
0.41,-0.15,-1.08,-0.00,0.55,0.01,47.82,0.02,47.91,0.01
0.42,-0.34,-0.94,0.32,0.55,0.00,47.82,0.03,47.90,0.01
0.43,-0.52,-0.78,0.68,0.55,0.00,47.83,0.02,47.90,0.01
0.44,-0.79,-0.54,0.66,0.55,0.00,47.82,0.01,47.90,0.01
0.45,-1.07,-0.27,1.37,0.55,-0.00,47.82,0.01,47.90,0.01
0.46,-0.66,-0.66,2.14,0.55,-0.01,47.82,0.01,47.91,0.01
0.47,-0.94,-0.39,2.55,0.55,-0.01,47.83,0.01,47.91,0.01
0.48,-0.67,-0.66,2.16,0.55,-0.01,47.82,0.01,47.90,0.02
0.49,-1.25,-0.11,0.95,0.55,-0.01,47.82,0.01,47.90,0.02
0.50,-1.70,0.32,-0.25,0.55,-0.01,47.84,0.00,47.91,0.01
0.51,-0.35,-0.95,0.00,0.66,0.00,47.83,0.00,47.90,0.01
0.52,-0.52,-0.98,0.16,0.66,0.02,47.82,0.02,47.90,0.01
0.53,-0.92,-0.62,0.28,0.66,0.04,47.82,0.01,47.91,0.01
0.54,-1.35,-0.22,0.69,0.66,0.05,47.83,0.01,47.90,0.01
0.55,-0.99,-0.55,1.84,0.66,0.05,47.82,0.01,47.90,0.01
0.56,-1.19,-0.37,1.90,0.66,0.06,47.82,0.01,47.91,0.01
0.57,-1.56,-0.02,2.63,0.66,0.07,47.84,0.00,47.89,0.02
0.58,-1.08,-0.47,2.53,0.66,0.07,47.82,0.00,47.90,0.02
0.59,-0.44,-1.08,1.13,0.66,0.08,47.82,0.02,47.90,0.02
0.60,-1.57,-0.02,0.30,0.66,0.10,47.83,0.01,47.91,0.02
0.61,-1.85,0.26,0.68,0.77,0.12,47.82,-0.00,47.89,0.01
0.62,-0.94,-0.78,0.83,0.77,0.15,47.83,0.00,47.90,0.02
0.63,-1.15,-0.60,1.25,0.77,0.15,47.82,0.01,47.90,0.02
0.64,-2.29,0.48,2.40,0.77,0.18,47.82,0.00,47.89,0.02
0.65,-1.43,-0.32,2.69,0.77,0.20,47.83,0.00,47.91,0.02
0.66,-1.30,-0.45,2.08,0.77,0.22,47.83,0.01,47.90,0.03
0.67,-2.11,0.32,1.34,0.77,0.24,47.82,0.00,47.90,0.02
0.68,-1.10,-0.63,0.88,0.77,0.26,47.82,0.00,47.90,0.02
0.69,-1.29,-0.45,1.21,0.77,0.29,47.82,0.01,47.91,0.03
0.70,-1.75,-0.02,1.26,0.77,0.30,47.82,0.00,47.90,0.03
0.71,-1.95,0.18,1.79,0.88,0.30,47.83,-0.00,47.90,0.02
0.72,-1.69,-0.25,1.63,0.88,0.31,47.82,0.00,47.90,0.03
0.73,-1.36,-0.56,2.47,0.88,0.32,47.82,0.00,47.90,0.03
0.74,-1.96,0.01,2.92,0.88,0.33,47.83,0.00,47.90,0.03
0.75,-1.49,-0.43,1.99,0.88,0.34,47.83,0.00,47.90,0.03
0.76,-1.92,-0.03,1.74,0.88,0.35,47.82,0.01,47.91,0.03
0.77,-2.45,0.47,2.23,0.88,0.38,47.81,-0.00,47.90,0.03
0.78,-1.61,-0.31,2.63,0.88,0.40,47.82,0.00,47.89,0.03
0.79,-1.74,-0.19,1.68,0.88,0.40,47.82,0.00,47.90,0.03
0.80,-2.33,0.37,0.66,0.88,0.42,47.82,-0.00,47.90,0.03
0.81,-1.30,-0.59,0.53,0.88,0.44,47.82,0.00,47.91,0.02
0.82,-0.73,-1.33,0.36,0.99,0.45,47.83,0.02,47.90,0.03
0.83,-1.69,-0.43,1.84,0.99,0.45,47.84,0.01,47.89,0.03
0.84,-1.92,-0.22,2.82,0.99,0.46,47.83,0.01,47.91,0.03
0.85,-1.13,-0.96,3.59,0.99,0.46,47.82,0.01,47.90,0.03
0.86,-2.68,0.49,2.67,0.99,0.46,47.82,0.00,47.90,0.04
0.87,-2.10,-0.04,2.35,0.99,0.47,47.82,0.00,47.90,0.04
0.88,-1.14,-0.95,2.01,0.99,0.49,47.83,0.01,47.90,0.04
0.89,-2.81,0.62,0.23,0.99,0.50,47.82,0.00,47.90,0.03
0.90,-2.39,0.24,0.84,0.99,0.51,47.82,-0.00,47.89,0.03
0.91,-1.61,-0.49,0.71,0.99,0.53,47.82,0.00,47.91,0.03
0.92,-1.34,-0.94,1.69,1.10,0.54,47.82,0.01,47.90,0.04
0.93,-1.88,-0.44,2.63,1.10,0.55,47.82,0.01,47.89,0.04
0.94,-2.17,-0.18,2.42,1.10,0.55,47.82,0.01,47.90,0.04
