time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,load_voltage,load_current,test_voltage,test_current
0.02,0.06,-0.31,0.09,0.00,0.00,47.89,0.00,47.87,-0.00
0.02,-0.11,-0.22,0.07,0.00,0.00,47.90,0.00,47.86,0.00
0.03,-0.10,-0.23,0.54,0.00,0.00,47.90,0.00,47.87,0.00
0.04,-0.05,-0.27,-0.07,0.00,0.00,47.89,0.00,47.87,0.00
0.05,-0.09,-0.24,0.25,0.00,0.00,47.90,0.00,47.86,-0.00
0.06,-0.17,-0.21,-0.20,0.00,0.00,47.91,0.00,47.86,0.00
0.07,-0.03,-0.29,-0.09,0.00,0.00,47.90,0.00,47.86,-0.00
0.08,-0.02,-0.30,0.09,0.00,0.00,47.90,0.00,47.85,-0.00
0.09,-0.06,-0.28,0.00,0.00,0.00,47.90,0.00,47.87,-0.00
0.10,-0.03,-0.57,0.15,0.00,0.00,47.89,0.00,47.86,0.00
0.11,-0.42,-0.38,-0.05,0.28,0.00,47.91,0.01,47.86,0.00
0.12,-0.69,-0.23,-0.53,0.28,0.00,47.90,0.00,47.86,0.00
0.13,0.01,-0.62,-0.03,0.28,0.00,47.90,0.01,47.85,0.00
0.14,0.01,-0.63,0.21,0.28,0.00,47.90,0.01,47.86,0.00
0.15,-0.09,-0.58,0.19,0.28,0.00,47.91,0.01,47.86,0.00
0.16,-0.05,-0.61,0.10,0.28,0.00,47.90,0.01,47.86,0.00
0.17,0.05,-0.68,0.06,0.28,0.00,47.90,0.01,47.86,0.00
0.18,-0.10,-0.61,0.11,0.28,0.00,47.90,0.01,47.86,0.00
0.19,-0.06,-0.64,-0.02,0.28,0.00,47.90,0.01,47.86,0.00
0.20,-0.11,-0.63,0.11,0.28,0.00,47.90,0.01,47.87,0.01
0.21,-0.39,-0.76,-0.10,0.42,0.00,47.91,0.02,47.86,0.01
0.22,-0.31,-0.81,-0.42,0.42,-0.01,47.90,0.02,47.85,0.01
0.23,-0.34,-0.81,0.08,0.42,-0.07,47.90,0.02,47.86,0.01
0.24,-0.68,-0.64,0.24,0.42,-0.07,47.90,0.02,47.85,0.01
0.25,-0.66,-0.65,0.11,0.42,-0.08,47.90,0.01,47.86,0.01
0.26,-0.08,-0.98,-0.12,0.42,-0.08,47.91,0.02,47.86,0.01
0.27,-0.41,-0.81,-0.23,0.42,-0.09,47.90,0.02,47.86,0.01
0.28,-0.99,-0.51,0.00,0.42,-0.09,47.89,0.02,47.86,0.01
0.29,-0.65,-0.70,-0.08,0.42,-0.10,47.91,0.02,47.86,0.01
0.30,-0.72,-0.67,0.20,0.42,-0.11,47.91,0.02,47.86,0.01
0.31,-1.17,-0.71,0.39,0.56,-0.12,47.90,0.02,47.87,0.01
0.32,-2.03,-0.24,4.27,0.56,-0.13,47.90,0.01,47.86,0.01
0.33,-1.71,-0.42,5.29,0.56,-0.14,47.91,0.01,47.86,0.02
0.34,-1.32,-0.63,4.42,0.56,-0.14,47.91,0.01,47.87,0.02
0.35,-2.48,-0.00,6.44,0.56,-0.15,47.90,0.00,47.86,0.02
0.36,-1.69,-0.43,9.07,0.56,-0.15,47.89,0.00,47.86,0.02
0.37,-1.42,-0.58,7.61,0.56,-0.15,47.89,0.01,47.87,0.02
0.38,-1.75,-0.41,9.56,0.56,-0.14,47.90,0.01,47.88,0.03
0.39,-2.44,-0.03,10.29,0.56,-0.13,47.89,0.01,47.86,0.03
0.40,-2.89,0.22,5.91,0.56,-0.12,47.89,-0.00,47.86,0.03
0.41,-4.05,0.60,3.83,0.70,-0.11,47.90,0.00,47.86,0.04
0.42,-3.93,0.55,1.58,0.70,-0.11,47.90,0.00,47.87,0.03
0.43,-3.30,0.21,1.32,0.70,-0.09,47.90,0.00,47.86,0.03
0.44,-1.71,-0.66,0.27,0.70,-0.07,47.91,0.00,47.87,0.03
0.45,-3.12,0.11,0.01,0.70,-0.04,47.89,0.00,47.87,0.03
0.46,-2.56,-0.19,-0.10,0.70,-0.01,47.90,0.00,47.86,0.03
0.47,-2.60,-0.16,-0.05,0.70,0.00,47.89,0.00,47.87,0.02
0.48,-1.04,-1.02,-0.09,0.70,0.01,47.88,0.01,47.86,0.03
0.49,-1.78,-0.63,0.23,0.70,0.02,47.91,0.01,47.87,0.02
0.50,-3.16,0.13,0.10,0.70,0.02,47.90,0.01,47.87,0.03
0.51,-2.20,-0.67,0.31,0.84,0.04,47.89,0.01,47.86,0.04
0.52,-2.71,-0.39,0.02,0.84,0.05,47.89,0.00,47.87,0.03
0.53,-3.75,0.17,0.16,0.84,0.06,47.90,0.00,47.86,0.04
0.54,-3.95,0.29,-0.15,0.84,0.07,47.89,0.00,47.86,0.03
0.55,-2.13,-0.71,0.14,0.84,0.08,47.90,0.01,47.87,0.03
0.56,-2.82,-0.34,0.02,0.84,0.08,47.89,0.01,47.86,0.03
0.57,-3.02,-0.23,0.21,0.84,0.08,47.90,0.00,47.86,0.03
0.58,-2.17,-0.70,1.95,0.84,0.08,47.90,0.01,47.85,0.03
0.59,-2.29,-0.64,3.98,0.84,0.07,47.90,0.02,47.86,0.03
0.60,-3.02,-0.25,5.78,0.84,0.06,47.91,0.01,47.87,0.04
0.61,-3.62,-0.19,11.29,0.84,0.05,47.90,0.01,47.86,0.04
0.62,-3.72,-0.13,12.56,0.98,0.04,47.90,0.00,47.86,0.05
0.63,-3.36,-0.33,15.57,0.98,0.03,47.90,0.00,47.86,0.06
0.64,-3.40,-0.31,17.74,0.98,0.01,47.90,0.01,47.86,0.07
0.65,-6.36,1.31,13.84,0.98,-0.01,47.89,-0.00,47.86,0.09
0.66,-7.41,1.93,5.62,0.98,-0.01,47.90,0.04,47.86,0.08
0.67,-6.60,1.53,-1.98,0.98,-0.01,47.90,0.02,47.86,0.05
0.68,-5.08,0.72,-0.47,0.98,0.01,47.90,0.01,47.86,0.03
0.69,-3.54,-0.11,1.44,0.98,0.05,47.89,0.00,47.87,0.04
0.70,-2.79,-0.52,0.95,0.98,0.10,47.89,0.00,47.86,0.04
0.71,-3.08,-0.64,5.38,0.98,0.12,47.90,0.00,47.86,0.05
0.72,-5.00,0.40,9.07,1.12,0.14,47.90,0.00,47.87,0.06
0.73,-5.19,0.52,8.98,1.12,0.14,47.89,-0.00,47.86,0.08
0.74,-4.71,0.27,7.64,1.12,0.15,47.91,-0.00,47.86,0.06
0.75,-6.16,1.08,6.12,1.12,0.17,47.91,0.01,47.85,0.08
0.76,-5.46,0.72,4.39,1.12,0.20,47.89,0.01,47.86,0.06
0.77,-4.84,0.39,4.99,1.12,0.24,47.90,0.00,47.86,0.07
0.78,-5.37,0.69,4.56,1.12,0.29,47.89,0.00,47.86,0.05
0.79,-5.04,0.52,3.28,1.12,0.33,47.90,0.00,47.87,0.05
0.80,-4.18,0.06,3.70,1.12,0.38,47.89,-0.00,47.86,0.05
0.81,-4.48,0.22,6.23,1.12,0.38,47.90,-0.00,47.86,0.06
0.82,-4.71,0.08,7.54,1.26,0.41,47.90,-0.00,47.86,0.07
0.83,-5.95,0.77,7.24,1.26,0.44,47.90,0.00,47.87,0.08
0.84,-5.92,0.77,6.52,1.26,0.48,47.91,0.01,47.86,0.08
0.85,-5.14,0.36,6.36,1.26,0.51,47.90,0.01,47.86,0.08
0.86,-5.74,0.69,4.69,1.26,0.54,47.90,0.00,47.86,0.07
0.87,-6.10,0.91,3.22,1.26,0.56,47.90,0.01,47.86,0.07
0.88,-4.71,0.16,5.74,1.26,0.56,47.89,0.00,47.86,0.06
0.89,-4.38,-0.02,4.74,1.26,0.56,47.90,-0.00,47.85,0.06
0.90,-5.81,0.77,5.94,1.26,0.55,47.90,0.00,47.86,0.08
0.91,-5.20,0.45,5.58,1.26,0.55,47.90,0.00,47.86,0.08
0.92,-5.86,0.54,5.96,1.40,0.56,47.91,0.00,47.87,0.08
0.93,-6.87,1.10,7.66,1.40,0.58,47.90,0.01,47.86,0.08
0.94,-5.49,0.36,6.37,1.40,0.61,47.90,0.00,47.86,0.09
0.95,-6.53,0.94,5.09,1.40,0.63,47.91,0.01,47.86,0.08
0.96,-5.98,0.65,5.95,1.40,0.63,47.90,0.01,47.85,0.09
0.97,-5.67,0.48,6.90,1.40,0.64,47.90,0.00,47.86,0.09
0.98,-6.37,0.88,5.64,1.40,0.65,47.90,0.00,47.86,0.09
0.99,-5.99,0.68,4.94,1.40,0.66,47.90,0.01,47.87,0.07
1.00,-6.08,0.74,6.03,1.40,0.66,47.90,0.01,47.86,0.07
1.01,-5.40,0.38,6.88,1.40,0.67,47.90,0.00,47.86,0.08
1.02,-5.68,0.26,5.85,1.54,0.69,47.90,-0.00,47.86,0.09
1.03,-6.90,0.94,7.00,1.54,0.70,47.90,0.01,47.86,0.09
1.04,-6.18,0.56,8.67,1.54,0.70,47.90,0.01,47.85,0.08
1.05,-7.05,1.04,7.58,1.54,0.71,47.90,0.01,47.86,0.08
1.06,-6.43,0.72,4.33,1.54,0.73,47.90,0.01,47.86,0.08
1.07,-7.02,1.05,6.21,1.54,0.74,47.90,0.01,47.86,0.08
1.08,-6.39,0.72,7.17,1.54,0.74,47.90,0.01,47.86,0.09
1.09,-5.58,0.29,7.54,1.54,0.75,47.90,0.00,47.86,0.09
1.10,-7.23,1.19,7.77,1.54,0.76,47.91,0.01,47.86,0.09
1.11,-5.98,0.53,7.49,1.54,0.77,47.90,0.01,47.86,0.10
1.12,-6.53,0.56,6.92,1.68,0.77,47.90,0.00,47.86,0.09
1.13,-7.45,1.07,7.46,1.68,0.79,47.91,0.01,47.86,0.10
1.14,-6.20,0.40,6.71,1.68,0.80,47.90,0.00,47.86,0.10
1.15,-6.72,0.69,8.67,1.68,0.81,47.90,0.01,47.87,0.11
1.16,-6.69,0.68,6.82,1.68,0.82,47.89,0.01,47.86,0.09
1.17,-7.31,1.04,5.97,1.68,0.83,47.89,0.01,47.86,0.09
1.18,-6.80,0.77,6.20,1.68,0.84,47.90,0.01,47.86,0.08
1.19,-6.68,0.71,7.95,1.68,0.84,47.89,0.01,47.87,0.11
1.20,-5.87,0.27,7.08,1.68,0.85,47.90,0.00,47.86,0.09
1.21,-7.47,1.15,8.09,1.68,0.85,47.90,0.01,47.86,0.09
1.22,-6.93,0.59,7.78,1.68,0.85,47.89,0.01,47.86,0.14
1.23,-7.75,1.05,6.69,1.82,0.85,47.90,0.01,47.86,0.12
1.24,-7.12,0.72,6.78,1.82,0.86,47.90,0.01,47.86,0.12
1.25,-6.91,0.60,7.82,1.82,0.87,47.90,0.00,47.86,0.13
1.26,-7.86,1.13,7.96,1.82,0.88,47.90,0.01,47.86,0.14
1.27,-7.27,0.83,7.75,1.82,0.88,47.91,0.01,47.86,0.11
1.28,-7.55,0.99,8.16,1.82,0.88,47.90,0.01,47.86,0.10
1.29,-7.03,0.71,8.00,1.82,0.88,47.90,0.01,47.86,0.11
1.30,-7.80,1.14,7.33,1.82,0.88,47.90,0.01,47.87,0.12
1.31,-7.54,1.01,9.69,1.82,0.89,47.89,0.01,47.88,0.14
1.32,-7.79,0.89,7.12,1.82,0.90,47.90,0.01,47.86,0.11
1.33,-8.32,1.19,7.70,1.96,0.91,47.90,0.01,47.86,0.10
1.34,-7.93,0.99,8.74,1.96,0.92,47.89,0.01,47.86,0.14
1.35,-8.25,1.18,8.16,1.96,0.92,47.90,0.01,47.85,0.14
1.36,-7.72,0.90,8.12,1.96,0.93,47.89,0.01,47.86,0.13
1.37,-8.51,1.34,7.83,1.96,0.95,47.89,0.01,47.86,0.11
1.38,-8.35,1.27,7.91,1.96,0.96,47.89,0.02,47.87,0.11
1.39,-7.84,1.00,8.04,1.96,0.98,47.90,0.01,47.86,0.13
1.40,-7.67,0.92,8.02,1.96,0.99,47.90,0.01,47.87,0.13
1.41,-7.89,1.05,7.96,1.96,1.01,47.90,0.01,47.86,0.13
1.42,-8.38,1.33,7.33,1.96,1.03,47.90,0.02,47.86,0.11
1.43,-8.14,0.93,9.77,2.10,1.03,47.90,0.01,47.86,0.16
1.44,-8.34,1.05,8.22,2.10,1.05,47.90,0.01,47.86,0.13
1.45,-8.57,1.19,8.62,2.10,1.06,47.91,0.01,47.85,0.14
1.46,-8.80,1.32,8.93,2.10,1.08,47.90,0.02,47.85,0.14
1.47,-8.49,1.17,6.34,2.10,1.10,47.90,0.01,47.86,0.15
1.48,-8.51,1.18,9.46,2.10,1.11,47.90,0.01,47.86,0.14
1.49,-8.61,1.25,8.80,2.10,1.13,47.89,0.01,47.86,0.12
1.50,-8.63,1.27,8.28,2.10,1.14,47.90,0.01,47.86,0.14
1.51,-8.33,1.12,8.40,2.10,1.14,47.90,0.01,47.86,0.16
1.52,-8.69,1.32,7.62,2.10,1.14,47.90,0.01,47.86,0.14
1.53,-8.33,0.86,10.58,2.24,1.15,47.90,0.01,47.86,0.12
1.54,-8.92,1.19,8.95,2.24,1.14,47.89,0.01,47.85,0.16
1.55,-9.04,1.26,9.07,2.24,1.13,47.90,0.01,47.85,0.13
1.56,-9.34,1.44,9.15,2.24,1.14,47.89,0.01,47.85,0.18
1.57,-8.87,1.20,11.09,2.24,1.15,47.91,0.01,47.85,0.13
1.58,-9.24,1.41,10.22,2.24,1.15,47.89,0.01,47.86,0.21
1.59,-9.35,1.48,7.78,2.24,1.15,47.90,0.01,47.85,0.16
1.60,-9.34,1.49,8.82,2.24,1.16,47.91,0.02,47.86,0.12
1.61,-8.44,1.01,11.45,2.24,1.16,47.90,0.01,47.86,0.18
1.62,-9.31,1.49,10.62,2.24,1.18,47.89,0.01,47.86,0.17
1.63,-10.23,1.74,9.93,2.38,1.19,47.91,0.02,47.87,0.18
1.64,-10.15,1.71,9.27,2.38,1.20,47.90,0.02,47.86,0.16
1.65,-9.39,1.31,9.78,2.38,1.22,47.89,0.01,47.86,0.17
1.66,-10.20,1.77,10.19,2.38,1.22,47.90,0.02,47.86,0.15
1.67,-9.62,1.46,8.59,2.38,1.24,47.89,0.02,47.86,0.17
1.68,-9.47,1.39,10.25,2.38,1.27,47.90,0.01,47.86,0.14
1.69,-9.73,1.55,10.46,2.38,1.29,47.90,0.02,47.86,0.17
1.70,-9.66,1.53,11.22,2.38,1.31,47.91,0.02,47.86,0.14
1.71,-9.59,1.50,8.26,2.38,1.33,47.89,0.01,47.86,0.18
1.72,-9.98,1.73,9.07,2.38,1.37,47.90,0.02,47.86,0.18
1.73,-9.50,1.20,11.57,2.38,1.40,47.91,0.01,47.86,0.20
1.74,-9.89,1.42,10.81,2.52,1.40,47.90,0.01,47.86,0.15
1.75,-10.56,1.80,9.81,2.52,1.43,47.90,0.01,47.86,0.19
1.76,-10.23,1.63,9.33,2.52,1.45,47.90,0.02,47.86,0.18
1.77,-10.17,1.61,9.76,2.52,1.47,47.90,0.01,47.86,0.19
1.78,-10.31,1.70,7.99,2.52,1.49,47.90,0.01,47.86,0.18
1.79,-10.20,1.65,9.31,2.52,1.52,47.89,0.02,47.85,0.19
1.80,-9.60,1.34,9.84,2.52,1.54,47.91,0.01,47.86,0.21
1.81,-10.29,1.72,10.55,2.52,1.54,47.90,0.02,47.86,0.17
1.82,-10.27,1.73,10.46,2.52,1.55,47.89,0.02,47.88,0.19
1.83,-9.62,1.11,11.27,2.52,1.57,47.90,0.01,47.85,0.20
