time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,load_voltage,load_current,test_voltage,test_current
0.01,0.02,-0.01,0.05,0.00,0.00,47.90,-0.00,47.87,0.00
0.02,0.01,-0.01,-0.27,0.00,0.00,47.91,0.00,47.86,0.00
0.03,0.09,-0.05,-0.01,0.00,-0.00,47.90,-0.00,47.86,-0.00
0.04,0.10,-0.05,0.02,0.00,-0.00,47.90,-0.00,47.86,-0.00
0.05,0.07,-0.04,0.07,0.00,-0.00,47.91,0.00,47.87,0.00
0.06,0.04,-0.02,-0.40,0.00,0.00,47.89,-0.00,47.86,0.00
0.07,0.08,-0.05,-0.09,0.00,-0.00,47.90,0.00,47.86,0.00
0.08,0.10,-0.06,-0.04,0.00,-0.00,47.90,0.00,47.86,-0.00
0.09,-0.14,0.07,-0.18,0.00,-0.00,47.89,-0.00,47.86,-0.00
0.10,0.04,-0.35,-0.16,0.00,-0.00,47.90,-0.00,47.86,-0.00
0.11,-0.15,-0.25,0.09,0.30,-0.00,47.90,0.00,47.87,0.00
0.12,-0.05,-0.31,0.26,0.30,-0.00,47.90,0.00,47.86,0.00
0.13,-0.04,-0.32,-0.13,0.30,-0.00,47.89,0.00,47.87,0.00
0.14,-0.18,-0.25,-0.15,0.30,-0.00,47.90,0.00,47.86,0.01
0.15,-0.41,-0.13,0.00,0.30,-0.00,47.90,0.00,47.86,0.01
0.16,-0.38,-0.15,0.08,0.30,-0.00,47.89,0.00,47.86,0.01
0.17,-0.44,-0.12,0.18,0.30,-0.00,47.89,0.00,47.86,0.01
0.18,-0.56,-0.05,0.24,0.30,-0.00,47.90,0.00,47.87,0.01
0.19,-0.66,0.00,-0.05,0.30,-0.01,47.91,0.00,47.86,0.01
0.20,0.04,-0.38,0.06,0.30,-0.01,47.91,0.00,47.85,0.01
0.21,-0.30,-0.37,0.03,0.45,-0.01,47.90,0.00,47.86,0.01
0.22,-0.46,-0.29,-0.08,0.45,-0.02,47.91,0.00,47.85,0.01
0.23,-0.97,-0.01,-0.14,0.45,-0.02,47.90,0.00,47.86,0.01
0.24,-0.68,-0.17,-0.16,0.45,-0.02,47.90,0.00,47.86,0.01
0.25,0.11,-0.61,0.15,0.45,-0.02,47.91,0.00,47.87,0.01
0.26,-0.16,-0.47,-0.09,0.45,-0.03,47.90,0.01,47.86,0.01
0.27,-0.06,-0.53,0.21,0.45,-0.03,47.90,0.01,47.86,0.01
0.28,-0.04,-0.55,0.16,0.45,-0.03,47.91,0.01,47.86,0.01
0.29,-0.19,-0.47,0.29,0.45,-0.04,47.90,0.01,47.87,0.01
0.30,-0.26,-0.44,-0.13,0.45,-0.04,47.90,0.01,47.86,0.01
0.31,-0.38,-0.55,-0.02,0.60,-0.04,47.90,0.01,47.85,0.02
0.32,-0.81,-0.32,0.39,0.60,-0.04,47.90,0.01,47.86,0.02
0.33,-0.74,-0.37,-0.35,0.60,-0.05,47.91,0.00,47.86,0.02
0.34,-0.11,-0.72,0.15,0.60,-0.05,47.90,0.01,47.86,0.02
0.35,-0.37,-0.59,0.30,0.60,-0.05,47.90,0.01,47.86,0.02
0.36,-1.24,-0.12,-0.19,0.60,-0.06,47.90,0.01,47.86,0.02
0.37,-1.11,-0.19,-0.01,0.60,-0.06,47.90,0.00,47.86,0.02
0.38,-0.88,-0.31,-0.08,0.60,-0.06,47.91,0.00,47.86,0.02
0.39,-2.32,0.47,-0.02,0.60,-0.06,47.89,0.00,47.86,0.02
0.40,-2.10,0.35,0.11,0.60,-0.06,47.90,-0.00,47.87,0.02
